open,close,high,low,value,volume,begin,end
65.65,66.17,66.2,65.57,257961428.9,3912130,4/6/2015 10:00,4/6/2015 10:09
66.17,66.31,66.48,66.09,304027999.7,4586100,4/6/2015 10:10,4/6/2015 10:19
66.31,66.1,66.31,66.03,160280754.3,2423150,4/6/2015 10:20,4/6/2015 10:29
66.07,65.93,66.18,65.9,146766324.7,2222940,4/6/2015 10:30,4/6/2015 10:39
65.93,65.96,66.14,65.92,88684404.4,1343160,4/6/2015 10:40,4/6/2015 10:49
65.93,66.25,66.3,65.92,116594324,1762990,4/6/2015 10:50,4/6/2015 10:59
66.25,66.15,66.34,66.05,64476889.7,973870,4/6/2015 11:00,4/6/2015 11:09
66.14,66.05,66.16,65.95,81074809.3,1228110,4/6/2015 11:10,4/6/2015 11:19
66.06,66.04,66.1,65.87,140584979,2130150,4/6/2015 11:20,4/6/2015 11:29
66.01,66.03,66.13,65.92,54770565.4,829490,4/6/2015 11:30,4/6/2015 11:39
66.02,66.2,66.21,66,132101951.1,1997410,4/6/2015 11:40,4/6/2015 11:49
66.2,66.14,66.2,66.03,56466186.2,854430,4/6/2015 11:50,4/6/2015 11:59
66.14,66.25,66.37,66.14,186587311.8,2814910,4/6/2015 12:00,4/6/2015 12:09
66.25,66.17,66.3,66.11,71582239.7,1081150,4/6/2015 12:10,4/6/2015 12:19
66.15,66.2,66.23,66.13,45988256.3,695030,4/6/2015 12:20,4/6/2015 12:29
66.21,66.12,66.21,66.06,48878874.8,739350,4/6/2015 12:30,4/6/2015 12:39
66.12,66.11,66.14,66.01,88510536.4,1339940,4/6/2015 12:40,4/6/2015 12:49
66.1,65.74,66.1,65.74,184524247.9,2799660,4/6/2015 12:50,4/6/2015 12:59
65.74,66,66,65.73,168896067.6,2564280,4/6/2015 13:00,4/6/2015 13:09
66,66.06,66.1,65.93,86193722.4,1305670,4/6/2015 13:10,4/6/2015 13:19
66.06,66,66.19,65.97,185604427,2808160,4/6/2015 13:20,4/6/2015 13:29
66,66.05,66.1,65.99,28432350.8,430580,4/6/2015 13:30,4/6/2015 13:39
66.05,66.02,66.09,66.02,30528337.2,462280,4/6/2015 13:40,4/6/2015 13:49
66.02,66,66.07,65.96,38695676.4,586090,4/6/2015 13:50,4/6/2015 13:59
66,66.46,66.7,66,532164979.7,8013330,4/6/2015 14:00,4/6/2015 14:09
66.47,66.48,66.64,66.33,171449790.2,2578770,4/6/2015 14:10,4/6/2015 14:19
66.5,66.79,66.9,66.5,328935537,4931880,4/6/2015 14:20,4/6/2015 14:29
66.79,66.71,66.9,66.63,205175577.2,3071340,4/6/2015 14:30,4/6/2015 14:39
66.69,66.61,66.83,66.53,147679684.7,2216410,4/6/2015 14:40,4/6/2015 14:49
66.61,66.68,66.69,66.55,56425193.3,846990,4/6/2015 14:50,4/6/2015 14:59
66.69,66.61,66.77,66.58,70112848.6,1051640,4/6/2015 15:00,4/6/2015 15:09
66.6,66.65,66.71,66.58,30745664,461410,4/6/2015 15:10,4/6/2015 15:19
66.67,66.65,66.71,66.58,24386208.6,365910,4/6/2015 15:20,4/6/2015 15:29
66.65,66.76,66.86,66.62,162141995.1,2428070,4/6/2015 15:30,4/6/2015 15:39
