candles;;;;;;;
;;;;;;;
open;close;high;low;value;volume;begin;end
257.11;257.11;257.11;257.11;5489298.5;21350;16.01.2020 9:50;16.01.2020 9:59
257.11;257.67;257.95;257.11;431364661.4;1673810;16.01.2020 10:00;16.01.2020 10:09
257.64;258.22;258.23;257.63;324756261.4;1258530;16.01.2020 10:10;16.01.2020 10:19
258.23;258.14;258.32;257.81;441100343.9;1708870;16.01.2020 10:20;16.01.2020 10:29
258.12;259.06;259.51;258.08;558884498.4;2158930;16.01.2020 10:30;16.01.2020 10:39
259.06;259.23;259.42;258.92;231614717.4;893550;16.01.2020 10:40;16.01.2020 10:49
259.2;258.93;259.22;258.7;209318798.2;808220;16.01.2020 10:50;16.01.2020 10:59
258.93;258.38;259.24;258.25;279003422.7;1077940;16.01.2020 11:00;16.01.2020 11:09
258.42;258.62;258.8;258.27;130627381.2;505290;16.01.2020 11:10;16.01.2020 11:19
258.6;258.15;258.82;257.92;213404896.1;826140;16.01.2020 11:20;16.01.2020 11:29
258.17;258.3;258.7;257.9;379906750.2;1471180;16.01.2020 11:30;16.01.2020 11:39
258.25;258;258.38;257.8;315981135.7;1224150;16.01.2020 11:40;16.01.2020 11:49
258.04;257.8;258.4;257.75;210759990.8;817030;16.01.2020 11:50;16.01.2020 11:59
257.76;257.93;258.18;257.55;389083449.8;1509460;16.01.2020 12:00;16.01.2020 12:09
257.88;258.2;258.2;257.56;182546108.7;707730;16.01.2020 12:10;16.01.2020 12:19
258.2;257.55;258.23;257.23;330587624.1;1283000;16.01.2020 12:20;16.01.2020 12:29
257.55;257.72;257.79;257.25;116125996.2;450880;16.01.2020 12:30;16.01.2020 12:39
257.75;256.88;257.75;256.65;300766710;1170240;16.01.2020 12:40;16.01.2020 12:49
256.88;257.14;257.18;256.55;257821119;1003850;16.01.2020 12:50;16.01.2020 12:59
257.14;256.77;257.17;256.61;157540102.9;613360;16.01.2020 13:00;16.01.2020 13:09
256.79;257.03;257.32;256.5;135163142;525950;16.01.2020 13:10;16.01.2020 13:19
257.01;257.37;257.49;256.85;211850785.5;823600;16.01.2020 13:20;16.01.2020 13:29
257.35;257.57;257.82;257.1;185809206.9;721510;16.01.2020 13:30;16.01.2020 13:39
257.61;257.44;257.89;257.32;258463224.8;1003160;16.01.2020 13:40;16.01.2020 13:49
257.41;257.22;257.49;256.9;161307138.1;627280;16.01.2020 13:50;16.01.2020 13:59
257.2;257.08;257.27;256.95;140214598.9;545400;16.01.2020 14:00;16.01.2020 14:09
257.05;256.96;257.11;256.77;167150724.3;650600;16.01.2020 14:10;16.01.2020 14:19
256.97;257.01;257.24;256.79;128317503.1;499290;16.01.2020 14:20;16.01.2020 14:29
257.03;256.9;257.11;256.88;113961212;443470;16.01.2020 14:30;16.01.2020 14:39
256.9;257.18;257.21;256.84;88257086.8;343350;16.01.2020 14:40;16.01.2020 14:49
257.18;257.02;257.24;257.01;58652765.2;228100;16.01.2020 14:50;16.01.2020 14:59
257.04;257.31;257.49;257.02;91557080;355850;16.01.2020 15:00;16.01.2020 15:09
257.29;257.21;257.35;257.06;67670124.5;263080;16.01.2020 15:10;16.01.2020 15:19
257.15;257.29;257.37;257.15;94794438.9;368430;16.01.2020 15:20;16.01.2020 15:29
257.29;257.32;257.48;257.08;109183393.8;424390;16.01.2020 15:30;16.01.2020 15:39
257.36;257.34;257.5;257.21;82581471.6;320880;16.01.2020 15:40;16.01.2020 15:49
257.34;257.18;257.41;257;85796574;333550;16.01.2020 15:50;16.01.2020 15:59
257.18;256.96;257.18;256.85;83207619.7;323780;16.01.2020 16:00;16.01.2020 16:09
256.97;257.14;257.2;256.67;139811494.9;544230;16.01.2020 16:10;16.01.2020 16:19
257.08;256.91;257.1;256.75;78553706.5;305700;16.01.2020 16:20;16.01.2020 16:29
