candles;;;;;;;
;;;;;;;
open;close;high;low;value;volume;begin;end
262.5;262.49;262.56;262.47;15274741.6;58190;17.01.2020 17:53;17.01.2020 17:53
262.47;262.49;262.49;262.47;795285.5;3030;17.01.2020 17:54;17.01.2020 17:54
262.49;262.43;262.53;262.42;22091021.1;84160;17.01.2020 17:55;17.01.2020 17:55
262.42;262.48;262.49;262.37;4610947.8;17570;17.01.2020 17:56;17.01.2020 17:56
262.48;262.48;262.5;262.45;8727551;33250;17.01.2020 17:57;17.01.2020 17:57
262.49;262.65;262.65;262.49;51588257;196470;17.01.2020 17:58;17.01.2020 17:58
262.65;262.7;262.77;262.62;87076196.8;331470;17.01.2020 17:59;17.01.2020 17:59
262.7;262.64;262.77;262.64;30797084.8;117230;17.01.2020 18:00;17.01.2020 18:00
262.63;262.62;262.73;262.6;27453539.7;104510;17.01.2020 18:01;17.01.2020 18:01
262.68;262.6;262.68;262.59;27833859.3;105990;17.01.2020 18:02;17.01.2020 18:02
262.6;262.6;262.68;262.57;35983964.4;137030;17.01.2020 18:03;17.01.2020 18:03
262.59;262.5;262.59;262.42;9812361.5;37380;17.01.2020 18:04;17.01.2020 18:04
262.49;262.49;262.49;262.42;981545.3;3740;17.01.2020 18:05;17.01.2020 18:05
262.42;262.21;262.42;262.21;20293717.7;77360;17.01.2020 18:06;17.01.2020 18:06
262.24;262.26;262.27;262.09;41727724.1;159180;17.01.2020 18:07;17.01.2020 18:07
262.23;262.22;262.37;262.19;8366900.3;31900;17.01.2020 18:08;17.01.2020 18:08
262.25;262.33;262.34;262.21;9012035.4;34360;17.01.2020 18:09;17.01.2020 18:09
262.3;262.26;262.37;262.26;7969333.6;30380;17.01.2020 18:10;17.01.2020 18:10
262.24;262.15;262.24;262.15;4879244;18610;17.01.2020 18:11;17.01.2020 18:11
262.1;262.19;262.21;262.07;22337887.4;85220;17.01.2020 18:12;17.01.2020 18:12
262.17;262.23;262.27;262.16;4297851.5;16390;17.01.2020 18:13;17.01.2020 18:13
262.22;262.34;262.37;262.2;7751549;29550;17.01.2020 18:14;17.01.2020 18:14
262.3;262.16;262.36;262.15;10481336.6;39970;17.01.2020 18:15;17.01.2020 18:15
262.15;262.2;262.29;262.09;10633555.9;40560;17.01.2020 18:16;17.01.2020 18:16
262.19;262.11;262.19;262.01;20840356.7;79530;17.01.2020 18:17;17.01.2020 18:17
262.08;262.08;262.19;262.04;10337964.8;39440;17.01.2020 18:18;17.01.2020 18:18
262.11;262.1;262.2;262.07;9678110.8;36920;17.01.2020 18:19;17.01.2020 18:19
262.1;262.2;262.2;262.07;19140055.8;73020;17.01.2020 18:20;17.01.2020 18:20
262.16;262.17;262.19;262.12;5266841.8;20090;17.01.2020 18:21;17.01.2020 18:21
262.16;262.38;262.47;262.16;30433219.1;116010;17.01.2020 18:22;17.01.2020 18:22
262.36;262.4;262.41;262.31;5682641.7;21660;17.01.2020 18:23;17.01.2020 18:23
262.35;262.3;262.41;262.3;3662759.3;13960;17.01.2020 18:24;17.01.2020 18:24
262.3;262.3;262.36;262.21;7740048.1;29510;17.01.2020 18:25;17.01.2020 18:25
262.3;262.37;262.41;262.28;7495921.5;28570;17.01.2020 18:26;17.01.2020 18:26
262.37;262.39;262.39;262.33;6312430.2;24060;17.01.2020 18:27;17.01.2020 18:27
262.36;262.39;262.41;262.33;16818896.9;64100;17.01.2020 18:28;17.01.2020 18:28
262.36;262.32;262.4;262.3;25835434.2;98470;17.01.2020 18:29;17.01.2020 18:29
262.32;262.4;262.4;262.29;19045129.7;72600;17.01.2020 18:30;17.01.2020 18:30
262.34;262.37;262.4;262.28;34850346.1;132840;17.01.2020 18:31;17.01.2020 18:31
262.3;262.37;262.4;262.28;12009041.3;45780;17.01.2020 18:32;17.01.2020 18:32
262.32;262.55;262.6;262.32;63873908.5;243340;17.01.2020 18:33;17.01.2020 18:33
262.5;262.62;262.62;262.44;36216455.6;137920;17.01.2020 18:34;17.01.2020 18:34
262.6;262.6;262.62;262.6;15926790.1;60650;17.01.2020 18:35;17.01.2020 18:35
262.6;262.51;262.64;262.5;25149260.1;95770;17.01.2020 18:36;17.01.2020 18:36
262.51;262.6;262.67;262.51;15278071.6;58180;17.01.2020 18:37;17.01.2020 18:37
262.54;262.66;262.67;262.54;36531496.8;139110;17.01.2020 18:38;17.01.2020 18:38
262.64;262.6;262.69;262.6;36589464.9;139320;17.01.2020 18:39;17.01.2020 18:39
262.5;262.5;262.5;262.5;681843750;2597500;17.01.2020 18:45;17.01.2020 18:45
262.5;262.5;262.5;262.5;105000;400;17.01.2020 18:46;17.01.2020 18:46
262.5;262.5;262.5;262.5;26840625;102250;17.01.2020 18:47;17.01.2020 18:47
262.5;262.5;262.5;262.5;1078875;4110;17.01.2020 18:48;17.01.2020 18:48
262.5;262.5;262.5;262.5;141750;540;17.01.2020 18:49;17.01.2020 18:49
