SECID;BOARDID;SHORTNAME;PREVPRICE;LOTSIZE;FACEVALUE;STATUS;BOARDNAME;DECIMALS;SECNAME;REMARKS;MARKETCODE;INSTRID;SECTORID;MINSTEP;PREVWAPRICE;FACEUNIT;PREVDATE;ISSUESIZE;ISIN;LATNAME;REGNUMBER;PREVLEGALCLOSEPRICE;PREVADMITTEDQUOTE;CURRENCYID;SECTYPE;LISTLEVEL;SETTLEDATE
ABRD;TQBR;АбрауДюрсо;138;10;1;A;Т+: Акции и ДР - безадрес.;1;Абрау-Дюрсо ПАО ао;;FNDT;EQIN;EQ-N;0.5;138;SUR;15.01.2020;98000184;RU000A0JS5T7;Abrau-Durso ao;1-02-12500-A;138;138;SUR;1;3;20.01.2020
AFKS;TQBR;Система ао;15.6;100;0.09;A;Т+: Акции и ДР - безадрес.;3;"АФК ""Система"" ПАО ао";;FNDT;EQIN;EQ-N;0.001;15.665;SUR;15.01.2020;9650000000;RU000A0DQZE3;AFK Sistema;1-05-01669-A;15.6;15.6;SUR;1;1;20.01.2020
AFLT;TQBR;Аэрофлот;110.7;10;1;A;Т+: Акции и ДР - безадрес.;2;Аэрофлот-росс.авиалин(ПАО)ао;;FNDT;EQIN;EQ-N;0.02;110.36;SUR;15.01.2020;1110616299;RU0009062285;Aeroflot;1-01-00010-A;110.7;110.7;SUR;1;1;20.01.2020
AGRO;TQBR;AGRO-гдр;644;1;0;A;Т+: Акции и ДР - безадрес.;1;ГДР ROS AGRO PLC ORD SHS;;FNDT;EQIN;EQ-N;0.2;651.8;SUR;15.01.2020;0;US7496552057;GDR ROS AGRO PLC ORD SHS;;644;644;SUR;D;1;20.01.2020
AKRN;TQBR;Акрон;4718;1;5;A;Т+: Акции и ДР - безадрес.;0;Акрон ПАО ао;;FNDT;EQIN;EQ-N;2;4716;SUR;15.01.2020;40534000;RU0009028674;Acron;1-03-00207-A;4718;4718;SUR;1;1;20.01.2020
ALBK;TQBR;БестЭфБ ао;62;10;10;A;Т+: Акции и ДР - безадрес.;0;Бест Эффортс Банк ПАО ао;;FNDT;EQIN;EQ-N;1;62;SUR;15.01.2020;56490000;RU000A0JS2M9;Best Efforts Bank ao;10400435B;61;61;SUR;1;3;20.01.2020
ALNU;TQBR;АЛРОСА-Нюр;53400;1;25;A;Т+: Акции и ДР - безадрес.;0;АЛРОСА-Нюрба ПАО ао;;FNDT;EQIN;EQ-N;200;53400;SUR;15.01.2020;800000;RU000A0JP468;ALROSA-Nurba ao;1-01-20179-F;53400;53400;SUR;1;3;20.01.2020
ALRS;TQBR;АЛРОСА ао;90.37;10;0.5;A;Т+: Акции и ДР - безадрес.;2;АЛРОСА ПАО ао;;FNDT;EQIN;EQ-N;0.01;89.86;SUR;15.01.2020;7364965630;RU0007252813;ALROSA ao;1-03-40046-N;90.37;90.37;SUR;1;1;20.01.2020
AMEZ;TQBR;АшинскийМЗ;5.09;100;1;A;Т+: Акции и ДР - безадрес.;3; Ашинский метзавод ПАО ао;;FNDT;EQIN;EQ-N;0.005;5.065;SUR;15.01.2020;498454822;RU000A0B88G6;Ashinckiy metzavod PAO;1-03-45219-D;5.09;5.09;SUR;1;2;20.01.2020
APTK;TQBR;Аптеки36и6;11.99;10;0.64;A;Т+: Акции и ДР - безадрес.;3;"ПАО ""Аптечная сеть 36,6"" ао";;FNDT;EQIN;EQ-N;0.002;12.004;SUR;15.01.2020;6708243398;RU0008081765;Apteki 36,6;1-01-07335-A;11.99;11.99;SUR;1;2;20.01.2020
AQUA;TQBR;РусАква ао;269;10;100;A;Т+: Акции и ДР - безадрес.;1;Русская Аквакультура ПАО ао;;FNDT;EQIN;EQ-N;0.5;272.5;SUR;15.01.2020;87876649;RU000A0JQTS3;Russkaya Akvakul'tura;1-01-04461-D;267.5;267.5;SUR;1;2;20.01.2020
ARSA;TQBR;Арсагера;3.45;1000;1;A;Т+: Акции и ДР - безадрес.;2;УК Арсагера ПАО-ао;;FNDT;EQIN;EQ-N;0.01;3.45;SUR;15.01.2020;123817165;RU000A0JP0Q7;UK Arsagera;1-01-03163-D;3.45;3.45;SUR;1;3;20.01.2020
ASSB;TQBR;АстрЭнСб;0.69;1000;0.007;A;Т+: Акции и ДР - безадрес.;4;Астраханская ЭСК ПАО;;FNDT;EQIN;EQ-N;0.0005;0.6995;SUR;15.01.2020;773900078;RU000A0D8MM8;Astrakhan Energo Sbyt;1-01-55064-E;0.69;0.69;SUR;1;3;20.01.2020
AVAN;TQBR;Авангрд-ао;650;1;10;A;Т+: Акции и ДР - безадрес.;0;"АКБ ""АВАНГАРД"" ПАО ао";;FNDT;EQIN;EQ-N;10;650;SUR;15.01.2020;80700000;RU000A0DM7B3;"AKB ""AVANGARD""";10102879B;650;650;SUR;1;3;20.01.2020
